Question,Solution
"Surface of a certain metal is first illuminated with light of wavelength λ1 = 350 nm and then by the light of wavelength λ2 = 540 nm. It is found that the maximum speed of the photoelectrons in the two cases differ by a factor of 2. The work function of the metal (in eV) is close to (Energy of photon = (1240/ λ) eV)
(a) 5.6
(b) 2.5
(c) 1.4
(d) 1.8","Using Einstein photoelectric equation, E – Φ = (½)mv2. E1 = Φ + (½) (2v)2. E2 = Φ + (½) (v)2. ⇒ (E1 – Φ)/(E2 – Φ) = 4. (hc/λ1– Φ)/(hc/λ2– Φ) = 4. (hc/λ1– Φ) = 4(hc/λ2– Φ). Φ = (hc/3)(4/λ2 – 1/λ1) = (1240/3)[(4 x 350 – 540)/(350 x 540)] ≈1.88 eV. Answer:(d) 1.8"
"When a certain photosensitive surface is illuminated with monochromatic light of frequency f, the stopping potential for the photocurrent is (-V0/2). When the surface is illuminated by monochromatic light of frequency f/2, the stopping potential is –V0. The threshold frequency for photoelectric emission is
(a) 4f/3
(b) 2f
(c) 5f/3
(d) 3f/2",hf = Φ + (v0/2)e———-(1). hf/2 = Φ + v0e————(2). (½) = (hf – Φ)/( ((hf/2) – Φ). hf0 = (3/2)hf (since Φ = hf0 ). f0 = (3/2)f. Answer: (d) 3f/2
"In a photoelectric effect experiment the threshold wavelength of light is 380 nm. If the wavelength of incident light is 260 nm, the maximum kinetic energy of emitted electrons will be given E (in eV) = [1237/λ(in nm)]
(a) 15.1 eV
(b) 4.5 eV
(c) 1.5 eV
(d) 3.0 eV","Given: λ0 = 380 nm, λi = 260 nm. Kmax = h (fi – f0). = h[(c/λi) – (c/λ0)] = hc[(λ0– λi)/(λ0λi)]. = 1237[(380 – 260)/(380 x 260)] eV = 1.5 eV. Answer: (c) 1.5 eV"
"Photon of frequency has a momentum associated with it. If c is the velocity of light, the momentum is
(a) hf/c
(b) f/c
(c) hfc
(d) hf/c2",The energy of a photon E = hf… (1). Also E = pc… (2). where p is the momentum of a photon. From (1) and (2) we get hf = pc. p = hf/c. Answer: (a) hf/c
"The time by a photoelectron to come out after the photon strikes is approximately
(a) 10–1 s
(b) 10–4 s
(c) 10–10 s
(d) 10–16 s",Emission of photo-electron starts from the surface after the incidence of photons in about 10–10 sec. Answer: (c) 10–10 s
"The work function of a substance is 4.0 eV. The longest wavelength of light that can cause photoelectron emission from this substance is approximately
(a) 540 nm
(b) 400 nm
(c) 310 nm
(d) 220 nm",Let λm = Longest wavelength of light. (hc/λm) = Φ (work function). λm= hc/Φ = (6.63 x 10-34) x (3 x108)/(4.0 x1.6 x10-19) = 310 nm. Answer: (c) 310 nm
"According to Einstein’s photoelectric equation, the plot of the kinetic energy of the emitted photoelectrons from a metal vs the frequency of the incident radiation gives a straight line whose slope
(a) depends on the nature of the metal used
(b) depends on the intensity of the radiation
(c) depends both on the intensity of the radiation and the metal used
(d) is the same for all metals and independent of the intensity of the radiation.","According to Einstein’s equation, Kinetic energy = hf – Φ where kinetic energy and f (frequency) are variables, compare it with the equation, y = mx + c. Therefore, the slope of line = h, h is Planck’s constant. Hence, the slope is the same for all metals and independent of the intensity of radiation. Answer : (d) is the same for all metals and independent of the intensity of the radiation"
"This question has Statement-1 and Statement-2. Of the four choices given after the statements, choose the one that best describes the two statements. Statement-1: When ultraviolet light is incident on a photocell, its stopping potential is V0 and the maximum kinetic energy of the photoelectrons is Kmax. When the ultraviolet light is replaced by X-rays, both V0 and Kmax increase. Statement-2: Photoelectrons are emitted with speeds ranging from zero to a maximum value because of the range of frequencies present in the incident light.
(a) Statement-1 is true, Statement-2 is false
(b) Statement-1 is true, Statement-2 is True; Statement-2 is the correct explanation of Statement-1
(c) Statement-1 is true, Statement-2 is True; Statement-2 is not the correct explanation of Statement-1
(d) Statement-1 is False, Statement-2 is true","According to Einstein’s photoelectric equation. Kmax = hf – Φ0. where, f = frequency of incident light. Φ0 = work function of the metal. Since the frequency of ultraviolet light is less than the frequency of x-rays, the energy of the photon will be more than x-rays. Since Kmax = eV0. V0 = (hf/e) – (Φ0/e). As fX-rays > fUltraviolet. Therefore, both Kmax and V0 increase when ultraviolet light is replaced by X-rays. Statement-2 is false. Answer: (a) Statement-1 is true, Statement-2 is false"
"The maximum velocity of the photoelectrons emitted from the surface is v when the light of frequency n falls on a metal surface. If the incident frequency is increased to 3n, the maximum velocity of the ejected photoelectrons will be
(a) more than √3v
(b) less than √3v
(c) v
(d) equal to √3v",E1 = (½) mv2 = hn – Φ. If incident frequency is increased to 3n. E2 = 1/2 mv’2 = 3hn – Φ = 3(hn – Φ ) + 2Φ = 3 × (½) mv2 + 2Φ. v’2 = 3v2 + 4Φ/m; v’ > v√3. Answer: (a) more than √3v
"In a Frank-Hertz experiment, an electron of energy 5.6 eV passes through mercury vapour and emerges with an energy 0.7 eV. The minimum wavelength of photons emitted by mercury atoms is close to
(a) 220 nm
(b) 1700 nm
(c) 250 nm
(d) 2020 nm",The minimum wavelength of emitted photons is. (hc/∆E) = (1240)/(5.6 – 0.7) = 250 nm. Answer: (c) 250 nm
"The energy band gap is maximum in
(a) metals
(b) superconductors
(c) insulators
(d) semiconductors",The energy band gap is maximum in insulators
"A piece of copper and another of germanium are cooled from room temperature to 77 K, the resistance of
(a) each of them increases
(b) each of them decreases
(c) copper decreases and germanium increases
(d) copper increases and germanium decreases","Copper is a conductor. Germanium is a semiconductor. When cooled, the resistance of copper decreases and that of germanium increases."
"In the common base mode of a transistor, the collector current is 5.488 mA for an emitter current of 5.60 mA. The value of the base current amplification factor (β) will be
(a) 48
(b) 49
(c) 50
(d) 51",β=Ic/Ib = Ic/(Ie – Ic) = 5.488/(5.60 – 5.488) = 5.488/ 0.112 = 49
"Carbon, silicon and germanium have four valence electrons each. At room temperature which one of the following statements is most appropriate?
(a) The number of free electrons for conduction is significant only in Si and Ge but small in C
(b) The number of free conduction electrons is significant in C but small in Si and Ge
(c) The number of free conduction electrons is negligibly small in all the three
(d) The number of free electrons for conduction is significant in all three","Carbon (C), silicon (Si) and germanium (Ge) have the same lattice structure and their valence electrons are 4. For C, these electrons are in the second orbit, for Si it is third and for germanium, it is the fourth orbit. In solid-state, the higher the orbit, the greater the possibility of overlapping of energy bands. Ionization energies are also less therefore Ge has more conductivity compared to Si. Both are semiconductors. Carbon is an insulator."
"In the ratio of the concentration of electrons that of holes in a semiconductor is 7/5 and the ratio of currents is 7/4 then what is the ratio of their drift velocities?
(a) 4/7
(b) 5/8
(c) 4/5
(d) 5/4","Drift velocity, Vd = I/nAe
(vd)electron/(vd)hole = (Ie/Ih)(nh/ne) = (7/4) x (5/7) = 5/4"
"At absolute zero, silicon (Si) acts as
(a) non-metal
(b) metal
(c) insulator
(d) none of these",Semiconductors like silicon (Si) and germanium (Ge) act as insulators at low temperature.
"Mobility of electrons in a semiconductor is defined as the ratio of their drift velocity to the applied electric field. If for an n-type semiconductor, the density of electrons is 1019 m–3 and their mobility is 1.6 m2 /(V-s) then the resistivity of the semiconductor (since it is an n-type semiconductor contribution of holes is ignored) is close to
(a) 0.2 m
(b) 4 m
(c) 2 m
(d) 0.4 m","J = neVd
Resistivity, ρ = E/j = E/neVd = 1/ne(vd/E) = 1/neμe
Resistivity, 1/(1019 x 1.6 x 10-19 x 1.6) = 0.39 Ω m = 0.4 Ω m"
"The electrical conductivity of a semiconductor increases when electromagnetic radiation of a wavelength shorter than 2480 nm is incident on it. The bandgap in (eV) for the semiconductor is
(a) 0.5 eV
(b) 0.7 eV
(c) 1.1 eV
(d) 2.5 eV","Band gap = Energy of photon of = 2480 nm
Energy = (hc/λ) J = (hc/λe) eV
Band gap = ([(6.63 x 10-34) x (3 x 108)]/[(2480 x 10-9) x (1.6 x 10-19)]) = 0.5 eV"
"The difference in the variation of resistance with temperature in a metal and a semiconductor arises essentially due to the difference in the
(a) crystal structure
(b) variation of the number of charge carriers with temperature
(c) type of bonding
(d) variation of scattering mechanism with temperature",variation of the number of charge carriers with temperature
"A strip of copper and another germanium are cooled from room temperature to 80 K. The resistance of
(a) each of these decreases
(b) copper strip increases and that of germanium decreases
(c) copper strip decreases and that of germanium increases
(d) each of these increases.","Copper is conductor and germanium is a semiconductor. When cooled, the resistance of copper strip decreases and that of germanium increases."
"The wavelength of the carrier waves in a modern optical fibre communication network is close to
(a) 600 nm
(b) 2400 nm
(c) 1500 nm
(d) 900 nm",Fibre optics communication is mainly conducted in a wavelength range from 1260 nm to 1625 nm. Answer: (c) 1500 nm
"The physical sizes of the transmitter and receiver antenna in a communication system are
(a) inversely proportional to the modulation frequency
(b) proportional to the carrier frequency
(c) independent of both carrier and modulation frequency
(d) inversely proportional to the carrier frequency",The physical size of the transmitter and receiver antenna is inversely proportional to the carrier frequency. Answer: (d) inversely proportional to the carrier frequency
"A telephonic communication service is working at a carrier frequency of 10 GHz. Only 10% of it is utilized for transmission. How many telephonic channels can be transmitted simultaneously if each channel requires a bandwidth of 5 kHz?
(a) 2 × 103
(b) 2 × 104
(c) 2 × 105
(d) 2 × 106",Frequency of carrier wave = 10 × 109 Hz. Available bandwidth 10% of 10 × 109 Hz = 109 Hz. Bandwidth for each telephonic channel 5 kHz = 5 × 103 Hz. Number of channels = 109/(5 x 103) = 2 x 105. Answer: (c) 2 × 105
"A TV transmission tower has a height of 140 m and the height of the receiving antenna is 40 m. What is the maximum distance upto which signals can be broadcasted from this tower in LOS (Line of Sight) mode? (Given: radius of earth = 6.4 × 106 m)
(a) 65 km
(b) 48 km
(c) 40 km
(d) 80 km","Maximum distance upto which signal can be broadcasted is dmax = √(2RhT) + √(2RhR) where hT and hR are heights of transmitter tower and height of receiver respectively. Putting all values, we get dmax = √(2 × 6.4 × 10^6)[√(140)+√(40)]. dmax = 65 km. Answer (a) 65 km"
"A signal of 5 kHz frequency is amplitude modulated on a carrier wave of frequency 2 MHz. The frequencies of the resultant signal are
(a) 2005 kHz, 2000 kHz and 1995 kHz
(b) 2000 kHz and 1995 kHz
(c) 2 MHz only
(d) 2005 kHz and 1995 kHz","Given, fm = 5 kHz, fc = 2 MHz = 2000 kHz. The frequencies of the resultant signal are fc + fm = (2000 + 5) kHz = 2005 kHz, fc = 2000 kHz and fc – fm = (2000 – 5) kHz = 1995 kHz. Answer: (a) 2005 kHz, 2000 kHz and 1995 kHz"
"Consider telecommunication through optical fibres. Which of the following statements is not true?
(a) Optical fibres can be of graded refractive index
(b) Optical fibres are subject to electromagnetic interference from outside
(c) Optical fibres have extremely low transmission loss
(d) Optical fibres may have a homogeneous core with a suitable cladding",Answer: (b) Optical fibres are not subject to electromagnetic interference from outside
"The modulation frequency of an AM radio station is 250 kHz, which is 10% of the carrier wave. If another AM station approaches you for a licence, what broadcast frequency will you allot?
(a) 2750 kHz
(b) 2900 kHz
(c) 2250 kHz
(d) 2000 kHz","10% of fc = 250 kHz. Hence, range of signal = (2500 ± 250 kHz) = 2250 kHz to 2750 kHz. 10% of 2000 kHz = 200 kHz. Range is 1800 kHz to 2200 kHz. Hence, allocated broadcast frequency will be 2000 kHz. Answer: (d) 2000 kHz"
"In a communication system operating at wavelength 800 nm, only one percent of source frequency is available as signal bandwidth. The number of channels accommodated for transmitting TV signals of bandwidth 6 MHz is (Take velocity of light c = 3 × 108 m/s, h = 6.6 × 10–34 J s)
(a) 3.75 × 106
(b) 4.87 × 105
(c) 6.25 × 105
(d) 3.86 × 106",f = C/λ = (3 x 108)/(8 x 10-7)= 3.75 x 1014 Hz. 1% of f = 3.75 x 1017 Hz = 3. 75 x 106 MHz. Number of channels = (3.75 x 106)/6. Number of channels = 6.25 x 105. Answer: (c) 6.25 × 105
"A signal of frequency 20 kHz and peak voltage of 5 volts is used to modulate a carrier wave of frequency 1.2 MHz and peak voltage 25 volts. Choose the correct statement.
(a) Modulation index = 5, side frequency bands are at 1400 kHz and 1000 kHz
(b) Modulation index = 0.2, side frequency bands are at 1220 kHz and 1180 kHz
(c) Modulation index = 0.8, side frequency bands are at 1180 kHz and 1220 kHz
(d) Modulation index = 5, side frequency bands are at 21.2 kHz and 18.8 kHz","Modulation index, m = (Vm/Vc)=(5/25) = 0.2. Frequency of carrier wave, fc = 1.2 × 103 kHz = 1200 kHz, Frequency of modulate wave = 20 kHz. f1 = fc – fm = 1200 – 20 = 1180 kHz. f2 = fc + fm = 1200 + 20 = 1220 kHz. Answer: (b) Modulation index = 0.2, side frequency bands are at 1220 kHz and 1180 kHz"
"An audio signal consists of two distinct sounds: one a human speech signal in the frequency band of 200 Hz to 2700 Hz, while the other is a high-frequency music signal in the frequency band of 10200 Hz to 15200 Hz. The ratio of the AM signal bandwidth required to send both the signals together to the AM signal bandwidth required to send just the human speech is
(a) 2
(b) 5
(c) 6
(d) 3",Band width for both signals = 15200 Hz – 200 Hz = 15000 Hz. Band width for human speed 2700 Hz – 200 Hz = 2500 Hz. The ratio = 15000/2500 = 6. Answer: (c) 6
"In an amplitude modulator circuit, the carrier wave is given by, C(t) = 4 sin(20000π t), while modulating signal is given by, m(t) = 2sin(2000πt). The values of modulation index and lower side band frequency are
(a) 0.4 and 10 kHz
(b) 0.5 and 9 kHz
(c) 0.3 and 9 kHz
(d) 0.5 and 10 kHz","Given C(t) = 4 sin (20000 πt) ⇒ Ac = 4. m(t) = 2 sin (2000πt) ⇒ Am = 2. Now modulation index, μ = Am/Ac = 2/4 = 0.5. Lower side band frequency, f = fc – fm …(1). Here for carrier wave, (20000 πt) = 2πfc. fc = 10000 Hz. For modulating wave, (2000 πt) = 2πfm. fm = 1000 Hz. From (i), Lower side band frequency = 10 kHz – 1 kHz = 9 kHz. Answer: (b) 0.5 and 9 kHz"
"A student measured the length of a rod and wrote it as 3.50 cm. Which instrument did he use to measure it?
A. A screw gauge having 100 divisions in the circular scale and pitch as 1 mm
B. A screw gauge having 50 divisions in the circular scale and pitch as 1 mm
C. A meter scale
D. A vernier calliper where the 10 divisions in vernier scale match with 9 division in the main scale and main scale have 10 divisions in 1 cm","The measured distance by the student is 3.50 cm which means the least count of the measurement done is 0.01 cm. The least count of a vernier calliper which has 10 divisions in 1cm on the main scale and 10 divisions in vernier scale match with 9 division in the main scale can be given as 1 cm/(10 x 10) = 0.01 cm. Therefore, the student must have used the vernier calliper for the measurement"
"In an experiment, the angles are required to be measured using an instrument. 29 divisions of the main scale exactly coincide with the 30 divisions of the vernier scale. If the smallest division of the main scale is half-a-degree(= 0.50), then the least count of the instrument is
A. One degree
B. Half degree
C. One minute
D. Half minute","30 divisions of the vernier scale coincide with 29 divisions of the main scale. Therefore, 1 V.S.D = (29/30) M.S.D. Least Count = 1 MSD – 1 VSD = 1 MSD – (29/30)MSD = (1/30)MSD = (1/30) (0.50) = (1/30) x 30 min = 1 min"
"A screw gauge gives the following reading when used to measure the diameter of a wire. Main scale reading : 0 mm Circular scale reading: 52 divisions Given that 1 mm on the main scale corresponds to 100 divisions of the circular scale The diameter of the wire from the above date is
A. 0.026 cm
B. 0.005 cm
C. 0.52 cm
D. 0.052 cm","Here, the pitch of the screw gauge, p =1 mm. Number of circular divisions, n=100. Thus, least count LC=p/n=1/100=0.01 mm=0.001 cm. Diameter of the wire =MSR+(CSR×LC)=0+(52×0.001cm)=0.052 cm"
"The density of a material in the shape of a cube is determined by measuring three sides of the cube and its mass. If the relative errors in measuring the mass and length are respectively 1.5% and 1%, the maximum error in determining the density is
A. 3.5 %
B. 4.5 %
C. 6 %
D. 2.5 %",Density ρ = m/V = m/l3. The maximum percentage error in density (Δρ/ρ) x 100 = (Δm/m) x 100 x 3(Δl/l) x 100 ⇒(Δρ/ρ) x 100 = 1.5 + 3 x 1 = 4.5%
"Resistance of a given wire is obtained by measuring the current flowing in it and the voltage difference applied across it. If the percentage errors in the measurement of the current and the voltage difference are 3% each, then the error in the value of resistance of the wire is
A. 3%
B. 6%
C. zero
D. 1%",R=V/I. (ΔR/R)×100=(ΔV/V) ×100+(ΔI/I)×100=3+3=6%
"The density of a solid ball is to be determined in an experiment. The diameter of the ball is measured with a screw gauge, whose pitch is 0.5 mm and there are 50 divisions on the circular scale. The reading on the main scale is 2.5 mm and that on the circular scale is 20 divisions. If the measured mass of the ball has a relative error of 2%, the relative percentage error in the density is
A. 0.9%
B. 2.4%
C. 3.1%
D. 4.2%",Least count = (pitch/number of division on circular scale)= (0.5/50) = 0.01 mm. Diameter of solid ball =2.5 + (0.5/50) x 20 = 2.7 mm. As density ρ = mass/volume = M/[(4π/3)(D/2)3]. The relative percentage error in density is (Δρ/ρ) x 100 = {(ΔM/M) + (3ΔD/D)} x 100. Percentage of error = {(ΔM/M) + (3ΔD/D)} x 100 x 100 =(2 + 3 X (0.01/2.7) x 100) = 3.1%
"Which of the following sets have different dimensions?
A. Pressure, Young’s modulus, stress
B. Emf, potential difference, electric potential
C. Heat, work done, energy
D. Dipole moment, electric flux, electric field","Dipole moment = charge x distance = [LTI]. Electric flux = electric field x area = [ML3T-3I-1]. Electric field = [ML1T-3I-1]. ∴ Dipole moment, electric flux and electric field have different dimensions"
"Planck’s constant has dimensions……………
",h = Planck’s constant. h = Energy(E)/Frequency(f) = [ML2T-2 ]/ [T-1] = [ML2T-1]
"The least count of the main scale of a screw gauge is 1mm. The minimum number of divisions on its circular scale required to measure 5 μm diameter of a wire is
A. 50
B. 200
C. 100
D. 500",Least count of the main scale of screw gauge = 1mm. Least count of screw gauge = Pitch/Number of division on the circular scale. 5 x 10-6 = 10-3/N. N = 200
"A copper wire is stretched to make it 0.5% longer. The percentage change in its electrical resistance if its volume remains unchanged is
A. 50
B. 200
C. 100
D. 500","Resistance,R = ρl/A. R = (ρl/A) x (l/l) = (ρl2/v) = (∵ Volume (V) = Al). Since resistivity and volume remains constant therefore percentage change in resistance ΔR/R = (2Δl/l) = 2 x (0.5) = 1%"
"A series AC circuit containing an inductor (20 mH), a capacitor (120 μF) and a resistor (60 Ω ) is driven by an AC source of 24 V/50 Hz. The energy dissipated in the circuit in 60 s is
A. 3.39 × 103 J
B. 5.65 × 102 J
C. 2.26 × 103 J
D. 5.17 × 102 J","Impedance, Z = (R2 + (XC – XL)2)1/2. XL = ωL = (2πvL), XL = 6.28 × 50 × 20 × 10–3 = 6.28 Ω. XC = (1/ωC) = 1/(2πvC) = 1/(6.28 x 120 x 10-6 x 50) = 26.54 Ω. XC – XL = 26.54 – 6.28 = 20.26. Z = ((60)2 + (20.26)2)½. Z2 = 4010 Ω2. Average power dissipated, Pav = ε rms Irmscos Φ. Pav = ε rms × (ε rms/Z) x (R/Z). Pav = (ε rms 2/Z2) x R = [(24)2/4010] x 60 W = 8.62 W. Energy dissipated in 60 S = 8.62 x 60 = 5.17 x 102 J. Answer: (d) 5.17 x 102 J"
"In an AC generator, a coil with N turns, all of the same area A and total resistance R, rotates with frequency ω in a magnetic field B. The maximum value of emf generated in the coil is
A. NAB
B. NABR
C. NABω
D. NABRc","In an a.c. generator, maximum emf = NABω"
"The phase difference between the alternating current and emf is π/2. Which of the following cannot be the constituent of the circuit?
A. LC
B. L alone
C. C alone
D. R, L","R and L cause phase difference to lie between 0 and π/2 but never 0 and π/2 at extremities. Answer: (d) R, L"
"Alternating current cannot be measured by D.C ammeter because
A. A.C cannot pass through D.C ammeter
B. A.C changes direction
C. The average value of current for the complete cycle is zero
D. D.C. ammeter will get damaged",The average value of A.C for the complete cycle is zero. Hence A.C cannot be measured by D.C ammeter. Answer: (c) The average value of current for the complete cycle is zero
"A power transmission line feeds input power at 2300 V to a step-down transformer with its primary windings having 4000 turns. The output power is delivered at 230 V by the transformer. If the current in the primary of the transformer is 5 A and its efficiency is 90%, the output current would be
A. 25 A
B. 50 A
C. 45 A
D. 35 A","Given єp = 2300 V, Np = 4000. єs = 230 V, Ip = 5 A, η = 90% = 0.9. η = Po/Pi = (єsIs)/(єpIp). Is = ηєpIp/єs = (0.9 x 2300 x 5)/230 = 45 A. Answer: (c) 45 A"
"A circuit connected to an ac source of emf e = e0 sin(100 t) with t in seconds, gives a phase difference of π/4 between the emf e and current I. Which of the following circuits will exhibit this?
A. RC circuit with R = 1 kΩ and C = 10μF
B. RL circuit with R = 1 kΩ and L = 10mH
C. RC circuit with R = 1 kΩ and C = 1μF
D. RL circuit with R = 1 kΩ and L = 1mH","Xc = R. 1/ωC = R. ω = 100 rad/s. Therefore, 1/100 = RC. Substituting values from option (a). R = 1 kΩ  = 103 Ω. C = 10μF = 10 x 10-6 F. RC = 103 x 10 x 10-6  = 1/100. Therefore, option (a) is correct. Answer (a) RC circuit with R = 1 kΩ and C = 10μF"
"In an a.c. circuit, the instantaneous e.m.f. and current is given by e = 100sin30t, i = 20sin(30t – π/4). In one cycle of A.C, the average power consumed by the circuit and the wattless current are, respectively
A. 50, 10
B. 1000/√2 ,10
C. 50/√2, 0
D. 50, 0","Pavg = VrmsIrmscosθ. Pavg = (V0/√2) (I0/√2)cosθ = (100/√2) (20/√2)cos450. Pavg = 1000/√2 watt. Wattless current = Irmssinθ. Wattless current = (I0/√2)sinθ = (20/√2)sin450 = 10 amp. Answer: (b) 1000/√2 ,10"
"A coil having n turns and resistance R Ω is connected with a galvanometer of resistance 4R Ω. This combination is moved in time t seconds from a magnetic field W1 weber to W2 weber. The induced current in the circuit is
A. -(W2 – W1)/5Rnt
B. -n(W2 – W1)/5Rt
C. -(W2 – W1)/Rnt
D. -(W2 – W1)/5Rnt","The emf induced in the coil is e = -n(dΦ/dt). Induced current, I = e/R’ = – (n/R’)(dΦ/dt) ——(1). Given, R’ = R + 4R = 5R. dΦ = W2 – W1. dt = t. (here, W1 and W2 are flux associated with one turn). Substituting the given values in equa(1) we get. I = (-n/5R)(W2 – W1/t). Answer: (b) -n(W2 – W1)/5Rt"
"An alternating voltage V(t) = 220 sin100πt volts is applied to a purely resistive load of 50 Ω. The time taken for the current to rise from half of the peak value is
A. 5 ms
B. 2.2 ms
C. 7.2 ms
D. 3.3 ms","As v(t) = 220 sin100πt. So I(t) = (220/50) sin100πt. I.e., I = Im = sin100πt. For I = Im. t1 = (π/2) x (1/100π) = (1/200) sec, And for I = Im/2. ⇒ (Im/2) = Imsin(100πt2). ⇒ (π/6) = 100πt2. ⇒ t2= (1/600) s. ∴ treq = (1/200) – (1/600) = (2/600) = (1/300)s =3.3 ms. Answer: (d) 3.3 ms"
"An arc lamp requires a direct current of 10A at 80V to function. If it is connected to a 220V (RMS), 50 Hz AC supply, the series inductor needed for it to work is close to
A. 0.065 H
B. 80 H
C. 0.08 H
D. 0.044 H",I = 10A. V = 80 V. R = 8 Ω. 10 = 220/(82 + XL2)½. 64 + XL2= 484. XL = √420. 2π x 50L = √420. L = √420/100π. L = 0.065 H. Answer: (a) 0.065 H
"In a series, LCR circuit R = 200Ω and the voltage and the frequency of the main supply is 220 V and 50 Hz respectively. On taking out the capacitance from the circuit the current lags behind the voltage by 300.  The power dissipated in the LCR circuit is
A. 242 W
B. 305 W
C. 210 W
D. Zero",Tan Φ = (XL – Xc)/R. Tan 300 = Xc/R = Xc = R/√3. Tan 300 = XL/R = XL = R/√3. XL = Xc ⇒ Condition for resonance. So Φ = 00. P = VIcos00. P = V2/R = (220)2/200 = 242 W. Answer: (a) 242 W
"The mean intensity of radiation on the surface of the Sun is about 108 W/m2. The RMS value of the corresponding magnetic field is closest to
(a) 10–2 T
(b) 1 T
(c) 10–4 T
(d) 102 T","Mean intensity I= (B2rms/μ0)c, B2rms = (108 x 4π x 10-7)/(3 x 108), Brms ≈ 10-4 T"
"A plane electromagnetic wave travels in free space along the x-direction. The electric field component of the wave at a particular point of space and time is E = 6 V m–1 along the y-direction. Its corresponding magnetic field component, B would be
(a) 6 × 10–8 T along the x-direction
(b) 2 × 10–8 T along the y-direction
(c) 2 × 10–8 T along the z-direction
(d) 6 × 10–8 T along the z-direction","The direction of electromagnetic wave travelling is given by k_bar = E_bar x B_bar. As the wave is travelling along x-direction and E is along the y-direction. So B must point towards the z-direction. The magnetic field, B = E/c = 6/(3 x 108) = 2 x 10-8 T"
"50 W/m2 energy density of sunlight is normally incident on the surface of a solar panel. Some part of incident energy (25%) is reflected from the surface and the rest is absorbed. The force exerted on 1m2 surface area will be close to (c = 3 × 108 m/s)
(a) 20 × 10–8 N
(b) 10 × 10–8 N
(c) 35 × 10–8 N
(d) 15 × 10–8 N","Given energy density = 50 W/m2. Here, change in momentum Δp = pf – pi, Δp = (-pi /4) – pi, Δp = -5pi /4 ∵ pi = E/c = 50 W/s/(3 x 108), Δp/Δt = F = 丨-5pi/4丨= (5/4) x (50/(3 x 108) = 20.8 x 10-8 N ≈ 20x 10-8 N"
"A red LED emits light at 0.1 watts uniformly around it. The amplitude of the electric field of the light at a distance of 1 m from the diode is
(a) 5.48 V/m
(b) 7.75 V/m
(c) 1.73 V/m
(d) 2.45 V/m","The intensity of light, I = uav c. Also, I = P/4πr2 and uav = ½ε0E02. ∴ P/4πr2 = (½)ε0E02c. Or E0 = sqrt((2P)/(4π ε0r2c)). Here, P = 0.1 W, r = 1 m, c = 3 × 108 m s–1, 1/4πε0 = 9 x 109 N C–2 m2, E0 = sqrt((2 x 0.1 x 9 x 10^9)/(1^2 x 3 x 10^8)) = sqrt(6) = 2.45 V m-1"
"Match List-I (Electromagnetic wave type) with List-II (Its association/application) and select the correct option from the choices given below the lists
(a) (i) (ii) (iii) (iv)
(b) (iv) (iii) (ii) (i)
(c) (i) (ii) (iv) (iii)
(d) (iii) (ii) (i) (iv)",Infrared waves are used to treat muscular strain. Radio waves are used for broadcasting. X-rays are used to detect the fracture of bones. Ultraviolet rays are absorbed by the ozone layer of the atmosphere.
"During the propagation of electromagnetic waves in a medium
(a) both electric and magnetic energy densities are zero
(b) electric energy density is double of the magnetic energy density
(c) electric energy density is half of the magnetic energy density
(d) electric energy density is equal to the magnetic energy density","In an em wave, energy is equally divided between the electric and the magnetic fields. The electric energy density is equal to the magnetic energy density"
"The magnetic field in a travelling electromagnetic wave has a peak value of 20 nT. The peak value of electric field strength is
(a)12 V/m
(b) 3 V/m
(c) 6 V/m
(d) 9 V/m","In an electromagnetic wave, the peak value of the electric field (E0) and peak value of magnetic field (B0) are related by E0 = B0C, E0 = (20 × 10–9 T) (3 × 108 m s–1) = 6 V/m"
"An electromagnetic wave of frequency = 3.0 MHz passes from vacuum into a dielectric medium with permittivity = 4.0. Then
(a) wavelength is doubled and the frequency remains unchanged
(b) wavelength is doubled and frequency becomes half
(c) wavelength is halved and frequency remains unchanged
(d) wavelength and frequency both remain unchanged","The frequency of the electromagnetic wave does not change with the change in medium. The wavelength and speed of the wave change with the change in the medium. Thus, the frequency of the EM wave when it passes from vacuum to dielectric medium will not change. The velocity of the EM wave in vacuum is given by, c = 1/√μ0ε0. If n is the frequency of the wave and λ is the wavelength of the wave, then c=nλ. Thus, c = 1/√μ0ε0 = nλ, n = c/λ ——-(1). Now, the Velocity of the electromagnetic wave in the medium is given by; vmedium=1/(√(μ0ε0μrεr)). Since, c=1/√μ0ε0, Therefore, vmedium=c/√μrϵr. For dielectric medium, μr=1, Thus, vmedium=c/√εr. Now, vmedium=c/√4, vmedium=c/2. Since, frequency does not change, thus, vmedium=n×λmedium, c/2=n×λmedium, ⇒ν=c/(2λmedium) …………(2), From (1) and (2) we get; c/λ=c/2λmedium, λmedium=λ/2"
"Electromagnetic waves are transverse in nature is evident by
(a) polarization
(b) interference
(c) reflection
(d) diffraction",Polarization proves the transverse nature of electromagnetic waves.
"The energy associated with electric field is (UE) and with magnetic field is (UB) for an electromagnetic wave in free space. Then
(a) UE > UB
(b) UE = UB/2
(c) UE = UB
(d) UE < UB",UE = UB
